   Time      Pc            Tc         R           L           T_eff       M           ignore
#   [yr]       [dyn/cm^2]   [K]         [R_sun]     [L_sun]     [K]         [M_sun]     []
  2.0000e+06  2.2191e+14  7.3370e+05  5.4221e-01  2.1398e-02  2.9979e+03  5.0000e-02  7.5172e-52
  2.0000e+06  2.0889e+14  7.4688e+05  5.7087e-01  2.4153e-02  3.0113e+03  5.3480e-02  7.5172e-52
  2.0000e+06  1.9753e+14  7.6087e+05  6.0016e-01  2.7180e-02  3.0247e+03  5.7200e-02  7.5172e-52
  2.0000e+06  1.8768e+14  7.7600e+05  6.3022e-01  3.0511e-02  3.0383e+03  6.1180e-02  7.5172e-52
  2.0000e+06  1.7825e+14  7.9083e+05  6.6113e-01  3.4196e-02  3.0527e+03  6.5440e-02  7.5172e-52
  2.0000e+06  1.7188e+14  8.0957e+05  6.9171e-01  3.8125e-02  3.0665e+03  7.0000e-02 -8.7700e-52
  2.0000e+06  1.6867e+14  8.1945e+05  7.0796e-01  4.0329e-02  3.0742e+03  7.2540e-02  7.5172e-52
  2.0000e+06  1.6654e+14  8.3094e+05  7.2395e-01  4.2588e-02  3.0815e+03  7.5180e-02  7.5172e-52
  2.0000e+06  1.6512e+14  8.4378e+05  7.3982e-01  4.4914e-02  3.0890e+03  7.7910e-02  7.5172e-52
  2.0000e+06  1.6464e+14  8.5753e+05  7.5434e-01  4.7171e-02  3.0968e+03  8.0730e-02  7.5172e-52
  2.0000e+06  1.6418e+14  8.7150e+05  7.6902e-01  4.9534e-02  3.1047e+03  8.3670e-02  7.5172e-52
  2.0000e+06  1.6429e+14  8.8645e+05  7.8332e-01  5.1927e-02  3.1130e+03  8.6700e-02  7.5172e-52
  2.0000e+06  1.6581e+14  9.0357e+05  7.9598e-01  5.4202e-02  3.1210e+03  8.9850e-02  7.5172e-52
  2.0000e+06  1.6634e+14  9.1898e+05  8.0914e-01  5.6627e-02  3.1299e+03  9.3110e-02  7.5172e-52
  2.0000e+06  1.6934e+14  9.3874e+05  8.2049e-01  5.8882e-02  3.1388e+03  9.6500e-02  7.5172e-52
  2.0000e+06  1.7305e+14  9.5983e+05  8.3122e-01  6.1139e-02  3.1478e+03  1.0000e-01  7.5172e-52
  2.0000e+06  1.7697e+14  9.8090e+05  8.4115e-01  6.3329e-02  3.1567e+03  1.0350e-01  7.5172e-52
  2.0000e+06  1.8572e+14  1.0090e+06  8.4621e-01  6.4897e-02  3.1669e+03  1.0720e-01  7.5172e-52
  2.0000e+06  1.9056e+14  1.0318e+06  8.5571e-01  6.7150e-02  3.1764e+03  1.1100e-01  7.5172e-52
  2.0000e+06  1.9548e+14  1.0557e+06  8.6530e-01  6.9479e-02  3.1852e+03  1.1490e-01 -8.7700e-52
  2.0000e+06  2.0049e+14  1.0800e+06  8.7505e-01  7.1904e-02  3.1950e+03  1.1890e-01  7.5172e-52
  2.0000e+06  2.0519e+14  1.1042e+06  8.8538e-01  7.4499e-02  3.2049e+03  1.2310e-01  7.5172e-52
  2.0000e+06  2.1025e+14  1.1279e+06  8.9505e-01  7.7075e-02  3.2147e+03  1.2750e-01  7.5172e-52    
  2.0000e+06  2.1563e+14  1.1537e+06  9.0496e-01  7.9776e-02  3.2246e+03  1.3200e-01  7.5172e-52
  2.0000e+06  2.2092e+14  1.1801e+06  9.1541e-01  8.2642e-02  3.2341e+03  1.3660e-01  7.5172e-52
  2.0000e+06  2.2604e+14  1.2063e+06  9.2630e-01  8.5681e-02  3.2449e+03  1.4140e-01  7.5172e-52
  2.0000e+06  2.3094e+14  1.2327e+06  9.3769e-01  8.8914e-02  3.2548e+03  1.4640e-01  7.5172e-52
  2.0000e+06  2.3912e+14  1.2648e+06  9.4664e-01  9.1820e-02  3.2654e+03  1.5160e-01  7.5172e-52
  2.0000e+06  2.4377e+14  1.2918e+06  9.5883e-01  9.5416e-02  3.2759e+03  1.5690e-01  7.5172e-52
  2.0000e+06  2.4823e+14  1.3190e+06  9.7135e-01  9.9207e-02  3.2864e+03  1.6240e-01  7.5172e-52
  2.0000e+06  2.5282e+14  1.3472e+06  9.8408e-01  1.0318e-01  3.2970e+03  1.6820e-01  7.5172e-52
  2.0000e+06  2.5730e+14  1.3759e+06  9.9712e-01  1.0733e-01  3.3081e+03  1.7410e-01  7.5172e-52
  2.0000e+06  2.6089e+14  1.4027e+06  1.0104e+00  1.1178e-01  3.3198e+03  1.8020e-01  7.5172e-52
  2.0000e+06  2.6575e+14  1.4331e+06  1.0239e+00  1.1629e-01  3.3310e+03  1.8660e-01  7.5172e-52
  2.0000e+06  2.7068e+14  1.4636e+06  1.0373e+00  1.2110e-01  3.3433e+03  1.9320e-01  7.5172e-52
  2.0000e+06  3.4780e+14  1.9234e+06  1.2158e+00  2.0657e-01  3.5287e+03  3.0000e-01  7.5172e-52
  2.0000e+06  3.5585e+14  1.9591e+06  1.2263e+00  2.1318e-01  3.5416e+03  3.0780e-01  7.5172e-52
  2.0000e+06  3.6137e+14  1.9914e+06  1.2377e+00  2.2032e-01  3.5550e+03  3.1570e-01  7.5172e-52
  2.0000e+06  3.6691e+14  2.0234e+06  1.2490e+00  2.2775e-01  3.5680e+03  3.2390e-01  7.5172e-52
  2.0000e+06  3.7015e+14  2.0522e+06  1.2616e+00  2.3609e-01  3.5816e+03  3.3230e-01  7.5172e-52
  2.0000e+06  3.7808e+14  2.0895e+06  1.2715e+00  2.4361e-01  3.5954e+03  3.4090e-01  7.5172e-52
  2.0000e+06  3.8368e+14  2.1233e+06  1.2831e+00  2.5200e-01  3.6090e+03  3.4970e-01  7.5172e-52
  2.0000e+06  3.9005e+14  2.1570e+06  1.2935e+00  2.6001e-01  3.6240e+03  3.5870e-01  7.5172e-52
  2.0000e+06  3.9342e+14  2.1890e+06  1.3074e+00  2.6993e-01  3.6380e+03  3.6800e-01  7.5172e-52
